raiz	carregando implante e implantando.MOV	17Mcwf_ve-Dsk5dmDr3d26fmmfc6N4oL1
raiz	carregamento_implanter.MOV	1dOls6CsyJJeeRMVD8-Dd2qvIrqrHOXfb
raiz	hidratando_foliculo.MOV	1V4KKA0nl-xIwg2IsrGW0kRBn52RxR_Kd
raiz	prp.mov	1T5ycWNAqEPbiFVf2oxB5qFXCOhr2SqWc
contagem-foliculo	contando_foliculo.MOV	1uIpQQy2sLp6-R7MaQfoJV4nj9-BuD_so
contagem-foliculo	IMG_5367.MOV	1Zf5gwViG82zoIcgxDoNJ-ZcrNIaOaVxy
contagem-foliculo	IMG_7466.MOV	15ejrpLGOW6smdmrFoxtMqwZT5TkgI6rP
contagem-foliculo	IMG_7467.MOV	1PoXKKRj6rX91Q4Rb6viC9haE1jd9Iut6
contagem-foliculo	c4283c49.MP4	1kCVW3pQDCXU_alBAsVSCRifDa_MSRbhk
organizando	Organizando_mesa.mov	1Ye_T4yIXGzlmMe8wLNAZv1MwH39nVyzU
organizando	IMG_8480.mov	1oP-g4LxPnjr9SyJhnLonVUafI2XyPJT6
organizando	IMG_8481.mov	1X80ObYpk8YxeZxQVdUR4CPGB5w8kMWoz
implantacao	implantacao.MOV	1NvBPvTRBRyM9FcOBn6KkviFJSLUbYnnS
implantacao	implantando_implante_2pessoas.MP4	1q9DL9wDR-U1U3nRhzKiexWBEdig9q7uI
implantacao	implantando_pinca.MOV	1Pb_U9GNH4GFZlooDo08Eou7-PEHnIHfX
implantacao	implantacao_implanter_e_pinca.MOV	1iRhrxadA6Mv8qkD4Ki-4hLkXCVFXBSY7
implantacao	implanter em maos treinadas.MOV	1MOkmPEY5D42-gB50i4rOoWZpL6YhUaP_
implantacao	implantacao_fabricia_stephanie.MOV	1I8Je5E7g98hXaQTYfqM_A21Va6qR8D7B
implantacao	implantacao_sobrancelha.MOV	1isjNqSFj9Q1FaefIVdYg1-ESKRF_ZmzZ
implantacao	implante_pinca.MOV	12Bj4bfTTAfyxlbKf--JLaSV-v2rrWqYG
implantacao	IMG_8459.MOV	1HNyREb7P4QwF8Izrs85MW8jm7snySQBI
implantacao	b30f41a0.mov	1L2ADOl3gr1U-MqYVtFuMdtPrfkkYhJKj
